"YearStart","YearEnd","LocationAbbr","LocationDesc","Datasource","Class","Topic","Question","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Alt","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit ","Sample_Size","Total","Age(months)","Sex","Race/Ethnicity","GeoLocation","ClassID","TopicID","QuestionID","DataValueTypeID","LocationID","StratificationCategory1","Stratification1","StratificationCategoryId1","StratificationID1"
"2008","2008","CA","California","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","17.7","17.7",,,"17.6","17.9","181,272",,"36 - 47",,,"    (37.63864012300047, -120.99999953799971)","OWS","OWS1","Q040","VALUE","06","Age (months)","36 - 47","AGEMO","AGEMO3647"
"2008","2008","CA","California","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","17.5","17.5",,,"17.3","17.7","134,121",,"48 - 59",,,"    (37.63864012300047, -120.99999953799971)","OWS","OWS1","Q040","VALUE","06","Age (months)","48 - 59","AGEMO","AGEMO4859"
"2008","2008","CA","California","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","17.7","17.7",,,"16.4","18.9","3,499",,,,"American Indian/Alaska Native","    (37.63864012300047, -120.99999953799971)","OWS","OWS1","Q040","VALUE","06","Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA"
"2008","2008","CA","California","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","14.8","14.8",,,"14.3","15.2","27,500",,,,"Asian/Pacific Islander","    (37.63864012300047, -120.99999953799971)","OWS","OWS1","Q040","VALUE","06","Race/Ethnicity","Asian/Pacific Islander","RACE","RACEAPI"
"2008","2008","CA","California","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","17.5","17.5",,,"17.3","17.6","253,328",,,"Female",,"    (37.63864012300047, -120.99999953799971)","OWS","OWS1","Q040","VALUE","06","Sex","Female","SEX","FEMALE"
"2008","2008","CA","California","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","18.0","18.0",,,"17.9","18.1","414,484",,,,"Hispanic","    (37.63864012300047, -120.99999953799971)","OWS","OWS1","Q040","VALUE","06","Race/Ethnicity","Hispanic","RACE","RACEHIS"
"2008","2008","CA","California","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","17.5","17.5",,,"17.3","17.6","261,851",,,"Male",,"    (37.63864012300047, -120.99999953799971)","OWS","OWS1","Q040","VALUE","06","Sex","Male","SEX","MALE"
"2008","2008","CA","California","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","14.9","14.9",,,"14.5","15.3","31,246",,,,"Non-Hispanic Black","    (37.63864012300047, -120.99999953799971)","OWS","OWS1","Q040","VALUE","06","Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK"
"2008","2008","CA","California","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","15.6","15.6",,,"15.2","15.9","36,886",,,,"Non-Hispanic White","    (37.63864012300047, -120.99999953799971)","OWS","OWS1","Q040","VALUE","06","Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT"
"2008","2008","CA","California","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","17.5","17.5",,,"17.4","17.6","515,179","Total",,,,"    (37.63864012300047, -120.99999953799971)","OWS","OWS1","Q040","VALUE","06","Total","Total","OVR","OVERALL"
